Case_ID,Rank,Feature,Original_Value,Baseline_Value,Original_Probability,Perturbed_Probability,Risk_Contribution,Absolute_Contribution,Influence
CASE-000541,1,V14,-4.28925378244217,0.0506013193100486,99.68300841226278,58.89300408079365,40.79000433146912,40.79000433146912,Risk Increasing
CASE-000541,2,V12,-2.89990738849473,0.140032588291332,99.68300841226278,93.32128313634723,6.361725275915542,6.361725275915542,Risk Increasing
CASE-000541,3,V10,-2.77227214465915,-0.0929173835961975,99.68300841226278,96.59639204276134,3.086616369501438,3.086616369501438,Risk Increasing
CASE-000541,4,V4,3.9979055875468,-0.0198465294811989,99.68300841226278,98.23277895589585,1.450229456366925,1.450229456366925,Risk Increasing
CASE-000541,5,V7,-2.53738730624579,0.0401030827945351,99.68300841226278,99.01442739889045,0.6685810133723269,0.6685810133723269,Risk Increasing
CASE-000541,6,V17,-2.83005567450437,-0.0656757538072252,99.68300841226278,99.3655465969256,0.3174618153371722,0.3174618153371722,Risk Increasing
CASE-000541,7,V11,3.20203320709635,-0.032757354499007,99.68300841226278,99.39517038936401,0.2878380228987676,0.2878380228987676,Risk Increasing
CASE-000541,8,V16,-1.14074717980657,0.0664133205843014,99.68300841226278,99.41245202290267,0.2705563893600993,0.2705563893600993,Risk Increasing
CASE-000541,9,Time,406.0,84692.0,99.68300841226278,99.94464749203973,-0.2616390797769652,0.2616390797769652,Risk Reducing
CASE-000541,10,V3,-1.60985073229769,0.179846343563544,99.68300841226278,99.48697357280564,0.19603483945713762,0.19603483945713762,Risk Increasing
